text,rumorID,tweetID,POS,NER,Category
موسى مرزوق الحمساوى يهنئ طالبان بفوزه بأفغانستان ويعتبر مندوب لملالي إيران  الصورة إجتماع الأرهابيين وفد طالبان هنية ليلة الأمس  تم كشك قطر ممول الارهاب حفظاللهمصر,AuFIN_001,1427297428890398725,"['موسى_X', 'مرزوق_X', 'الحمساوى_X', 'يهنئ_VERB', 'طالبان_NOUN', 'ب_ADP', 'فوز_NOUN', 'ه_PRON', 'ب_ADP', 'أفغانستان_NOUN', 'و_CCONJ', 'يعتبر_VERB', 'مندوب_NOUN', 'ل_ADP', 'ملالي_NOUN', 'إيران_NOUN', 'الصورة_NOUN', 'إجتماع_NOUN', 'الأرهابيين_NOUN', 'وفد_NOUN', 'طالبان_NOUN', 'هنية_X', 'ليلة_NOUN', 'الأمس_NOUN', 'تم_VERB', 'كشك_NOUN', 'قطر_NOUN', 'ممول_NOUN', 'الارهاب_NOUN', 'حفظاللهمصر_X']","['موسى_S-PER', 'مرزوق_B-PER', 'الحمساوى_E-PER', 'يهنئ_O', 'طالبان_S-LOC', 'بفوزه_O', 'بأفغانستان_S-LOC', 'ويعتبر_O', 'مندوب_O', 'لملالي_O', 'إيران_S-LOC', 'الصورة_O', 'إجتماع_O', 'الأرهابيين_O', 'وفد_O', 'طالبان_O', 'هنية_O', 'ليلة_O', 'الأمس_O', 'تم_O', 'كشك_O', 'قطر_O', 'ممول_O', 'الارهاب_O', 'حفظاللهمصر_O']",politics
مزيداً الأنحدار مستنقع التطبيع القذرحسين الجسمي يشارك تلحين اغنية إسرائيلية تبدأ برساله شكر للأمارات الرئيس الأسرائيلي تل ابيب أنقاض قرانا الفلسطينية مسحت وجه الارضخسئتم انتم عار علينا والعروبة والدين بريئةٌ امثالكم التطبيعخيانةعظمى,AuFIN_002,1311033577543479297,"['مزيداً_NOUN', 'الأنحدار_NOUN', 'مستنقع_NOUN', 'التطبيع_NOUN', 'القذرحسين_X', 'الجسمي_ADJ', 'يشارك_VERB', 'تلحين_NOUN', 'اغنية_NOUN', 'إسرائيلية_ADJ', 'تبدأ_VERB', 'ب_ADP', 'رسال_NOUN', 'ه_PRON', 'شكر_NOUN', 'ل_ADP', 'الأمارات_NOUN', 'الرئيس_NOUN', 'الأسرائيلي_ADJ', 'تل_X', 'ابيب_X', 'أنقاض_X', 'قرانا_X', 'الفلسطينية_ADJ', 'مسحت_VERB', 'وجه_NOUN', 'الارضخسئتم_NOUN', 'انتم_PRON', 'عار_X', 'علي_ADP', 'نا_PRON', 'و_CCONJ', 'العروبة_NOUN', 'و_CCONJ', 'الدين_NOUN', 'بريئة_X', 'ٌ_X', 'امثالكم_X', 'التطبيعخيانة_NOUN', 'عظمى_ADJ']","['مزيداً_O', 'الأنحدار_O', 'مستنقع_O', 'التطبيع_O', 'القذرحسين_O', 'الجسمي_O', 'يشارك_O', 'تلحين_O', 'اغنية_B-MISC', 'إسرائيلية_E-MISC', 'تبدأ_O', 'برساله_O', 'شكر_O', 'للأمارات_O', 'الرئيس_O', 'الأسرائيلي_O', 'تل_B-PER', 'ابيب_E-PER', 'أنقاض_O', 'قرانا_O', 'الفلسطينية_O', 'مسحت_O', 'وجه_O', 'الارضخسئتم_O', 'انتم_O', 'عار_O', 'علينا_O', 'والعروبة_O', 'والدين_O', 'بريئة_O', 'ٌ_O', 'امثالكم_O', 'التطبيعخيانة_O', 'عظمى_O']",politics
بتوجيهات هيثم بن طارق آل سعيد سلطان عمان استدعت سلطنة عمان سفيرها الدوحة اليوم ودعت قطر الكف نشاطاتها المزعزعة للاستقرار والأمن وتأتي الخطوة تعكس التضامن المملكة العربية السعودية قطعت العلاقات قطر منتصف عام 2017 إضافة الإمارات,AuFIN_003,1225883281700290560,"['ب_ADP', 'توجيهات_NOUN', 'هيثم_X', 'بن_PROPN', 'طارق_X', 'آل_X', 'سعيد_X', 'سلطان_X', 'عمان_NOUN', 'استدعت_VERB', 'سلطنة_NOUN', 'عمان_NOUN', 'سفير_NOUN', 'ها_PRON', 'الدوحة_NOUN', 'اليوم_NOUN', 'ودعت_VERB', 'قطر_NOUN', 'الكف_NOUN', 'نشاطات_NOUN', 'ها_PRON', 'المزعزعة_ADJ', 'ل_ADP', 'الاستقرار_NOUN', 'و_CCONJ', 'الأمن_NOUN', 'و_CCONJ', 'تأتي_VERB', 'الخطوة_NOUN', 'تعكس_VERB', 'التضامن_NOUN', 'المملكة_NOUN', 'العربية_ADJ', 'السعودية_ADJ', 'قطعت_VERB', 'العلاقات_NOUN', 'قطر_NOUN', 'منتصف_NOUN', 'عام_NOUN', '2017_NUM', 'إضافة_NOUN', 'الإمارات_NOUN']","['بتوجيهات_O', 'هيثم_B-PER', 'بن_I-PER', 'طارق_I-PER', 'آل_I-PER', 'سعيد_E-PER', 'سلطان_O', 'عمان_S-LOC', 'استدعت_O', 'سلطنة_O', 'عمان_S-LOC', 'سفيرها_O', 'الدوحة_S-LOC', 'اليوم_O', 'ودعت_O', 'قطر_O', 'الكف_O', 'نشاطاتها_O', 'المزعزعة_O', 'للاستقرار_O', 'والأمن_O', 'وتأتي_O', 'الخطوة_O', 'تعكس_O', 'التضامن_O', 'المملكة_B-LOC', 'العربية_E-LOC', 'السعودية_S-LOC', 'قطعت_O', 'العلاقات_O', 'قطر_S-LOC', 'منتصف_O', 'عام_O', '2017_O', 'إضافة_O', 'الإمارات_O']",politics
متظاهرون أتراك يهاجمون البنك الكويتي التركي إسطنبول انهيار الليرة التركية وصلني,AuFIN_004,1317056521612763142,"['متظاهرون_NOUN', 'أتراك_ADJ', 'يهاجمون_VERB', 'البنك_NOUN', 'الكويتي_ADJ', 'التركي_ADJ', 'إسطنبول_X', 'انهيار_NOUN', 'الليرة_NOUN', 'التركية_ADJ', 'وصلني_X']","['متظاهرون_O', 'أتراك_S-PER', 'يهاجمون_O', 'البنك_B-ORG', 'الكويتي_E-ORG', 'التركي_O', 'إسطنبول_S-LOC', 'انهيار_O', 'الليرة_O', 'التركية_O', 'وصلني_O']",politics
وين ولد الملحه عاجل رئيس اركان الجيش الكويتي الفريق الركن محمد خالد الخضر حال ينسحب العراق بناء الميناء الجديد تكون محافظة اسمها البصرة ساجتاحها بسواعد رجال الكويت ليكون درس للذين شككو قدراتنا العسكرية العراق اصغر ان تصد هجماتنا ونحن الان,AuFIN_005,1176264390238040064,"['و_CCONJ', 'ين_VERB', 'ولد_NOUN', 'الملحه_NOUN', 'عاجل_ADJ', 'رئيس_NOUN', 'اركان_NOUN', 'الجيش_NOUN', 'الكويتي_ADJ', 'الفريق_NOUN', 'الركن_NOUN', 'محمد_X', 'خالد_X', 'الخضر_X', 'حال_NOUN', 'ينسحب_VERB', 'العراق_NOUN', 'بناء_NOUN', 'الميناء_NOUN', 'الجديد_ADJ', 'تكون_VERB', 'محافظة_NOUN', 'اسم_NOUN', 'ها_PRON', 'البصرة_NOUN', 'س_AUX', 'اجتاح_VERB', 'ها_PRON', 'ب_ADP', 'سواعد_NOUN', 'رجال_NOUN', 'الكويت_NOUN', 'ل_CCONJ', 'يكون_VERB', 'درس_NOUN', 'ل_ADP', 'الذين_DET', 'شككو_VERB', 'قدرات_NOUN', 'نا_PRON', 'العسكرية_ADJ', 'العراق_NOUN', 'اصغر_ADJ', 'ان_SCONJ', 'تصد_VERB', 'هجمات_NOUN', 'نا_PRON', 'و_CCONJ', 'نحن_PRON', 'الان_NOUN']","['وين_O', 'ولد_O', 'الملحه_O', 'عاجل_O', 'رئيس_O', 'اركان_O', 'الجيش_B-ORG', 'الكويتي_E-ORG', 'الفريق_O', 'الركن_O', 'محمد_B-PER', 'خالد_I-PER', 'الخضر_E-PER', 'حال_O', 'ينسحب_O', 'العراق_S-LOC', 'بناء_O', 'الميناء_O', 'الجديد_O', 'تكون_O', 'محافظة_O', 'اسمها_O', 'البصرة_S-LOC', 'ساجتاحها_O', 'بسواعد_O', 'رجال_O', 'الكويت_S-LOC', 'ليكون_O', 'درس_O', 'للذين_O', 'شككو_O', 'قدراتنا_O', 'العسكرية_O', 'العراق_S-LOC', 'اصغر_O', 'ان_O', 'تصد_O', 'هجماتنا_O', 'ونحن_O', 'الان_O']",politics
قيسسعيد فصاعداً تدخل رجال الدين السياسة فإني سأملاء السجون يحيا البطن حمل رجل زمن انبطاح الرجال,AuFIN_006,1420483339266318339,"['قيسسعيد_ADJ', 'فصاعداً_ADJ', 'تدخل_VERB', 'رجال_NOUN', 'الدين_NOUN', 'السياسة_NOUN', 'ف_CCONJ', 'إني_PRON', 'س_AUX', 'أملاء_VERB', 'السجون_NOUN', 'يحيا_VERB', 'البطن_NOUN', 'حمل_VERB', 'رجل_NOUN', 'زمن_NOUN', 'انبطاح_X', 'الرجال_NOUN']","['قيسسعيد_O', 'فصاعداً_O', 'تدخل_O', 'رجال_O', 'الدين_O', 'السياسة_O', 'فإني_O', 'سأملاء_O', 'السجون_O', 'يحيا_O', 'البطن_O', 'حمل_O', 'رجل_O', 'زمن_O', 'انبطاح_O', 'الرجال_O']",politics
قطر تُعلن تسجيل إصابة فايروس كورونا المستجد,AuFIN_007,1229853077357899776,"['قطر_NOUN', 'تُعلن_VERB', 'تسجيل_NOUN', 'إصابة_NOUN', 'فايروس_X', 'كورونا_X', 'المستجد_ADJ']","['قطر_S-LOC', 'تُعلن_O', 'تسجيل_O', 'إصابة_O', 'فايروس_B-PER', 'كورونا_E-PER', 'المستجد_O']",politics
شاهد احتفلالقطريون شوارع الدوحة موافقة المملكة فتح الحدود البرية والجوية بلادهم 24,AuFIN_008,1346250971169611783,"['شاهد_NOUN', 'احتفلالقطريون_X', 'شوارع_NOUN', 'الدوحة_NOUN', 'موافقة_NOUN', 'المملكة_NOUN', 'فتح_NOUN', 'الحدود_NOUN', 'البرية_ADJ', 'و_CCONJ', 'الجوية_ADJ', 'بلاد_NOUN', 'هم_PRON', '24_NUM']","['شاهد_O', 'احتفلالقطريون_O', 'شوارع_O', 'الدوحة_S-LOC', 'موافقة_O', 'المملكة_O', 'فتح_O', 'الحدود_O', 'البرية_O', 'والجوية_O', 'بلادهم_O', '24_O']",politics
أردوغان مشاكلي السيسي كانت بسبب سوء الفهم وأسعى لإصلاحه قناة الجزيرة,AuFIN_009,1370704766397976576,"['أردوغان_X', 'مشاكلي_X', 'السيسي_X', 'كانت_VERB', 'ب_ADP', 'سبب_NOUN', 'سوء_NOUN', 'الفهم_NOUN', 'و_CCONJ', 'أسعى_VERB', 'ل_ADP', 'إصلاح_NOUN', 'ه_PRON', 'قناة_NOUN', 'الجزيرة_NOUN']","['أردوغان_S-PER', 'مشاكلي_O', 'السيسي_O', 'كانت_O', 'بسبب_O', 'سوء_O', 'الفهم_O', 'وأسعى_O', 'لإصلاحه_O', 'قناة_O', 'الجزيرة_O']",politics
مش ده برضو الملياردير نجيب ساويرس اللي معاه ربع فلوس مصر وعايش خيرها مش شايف كويس متصور آبي أحمد رئيس الوزراء الأثيوبي اللي بيموت إكلينيكيا حاليا واللي مغتصب حقنا مياه النيل طيب أيه اللي موديه,AuFIN_010,1463555041432940550,"['مش_X', 'ده_X', 'برضو_ADJ', 'الملياردير_NOUN', 'نجيب_X', 'ساويرس_X', 'اللي_X', 'معاه_ADJ', 'ربع_NOUN', 'فلوس_NOUN', 'مصر_NOUN', 'و_CCONJ', 'عايش_ADJ', 'خير_ADJ', 'ها_PRON', 'مش_X', 'شايف_X', 'كويس_X', 'متصور_ADJ', 'آبي_X', 'أحمد_X', 'رئيس_NOUN', 'الوزراء_NOUN', 'الأثيوبي_ADJ', 'اللي_X', 'بيموت_X', 'إكلينيكيا_X', 'حاليا_ADJ', 'و_CCONJ', 'اللي_ADJ', 'مغتصب_X', 'حقنا_X', 'مياه_NOUN', 'النيل_NOUN', 'طيب_ADJ', 'أي_NOUN', 'ه_PRON', 'اللي_X', 'موديه_X']","['مش_O', 'ده_O', 'برضو_O', 'الملياردير_O', 'نجيب_B-PER', 'ساويرس_E-PER', 'اللي_O', 'معاه_O', 'ربع_O', 'فلوس_O', 'مصر_S-LOC', 'وعايش_O', 'خيرها_O', 'مش_O', 'شايف_O', 'كويس_O', 'متصور_O', 'آبي_B-PER', 'أحمد_E-PER', 'رئيس_O', 'الوزراء_O', 'الأثيوبي_O', 'اللي_O', 'بيموت_O', 'إكلينيكيا_S-ORG', 'حاليا_O', 'واللي_O', 'مغتصب_O', 'حقنا_O', 'مياه_O', 'النيل_S-LOC', 'طيب_O', 'أيه_O', 'اللي_O', 'موديه_O']",politics
