text,rumorID,tweetID,POS,NER,Category
"موسى أبو مرزوق الحمساوى يهنئ طالبان بفوزه بأفغانستان ويعتبر مندوب لملالي إيران 
- الصورة من إجتماع الأرهابيين وفد من طالبان مع هنية ليلة الأمس   
تم في كشك قطر ""ممول الا.ر.هاب"" 
#حفظ_الله_مصر ",AuFIN_001,1427297428890398725,"['موسى_X', 'أبو_X', 'مرزوق_X', 'الحمساوى_X', 'يهنئ_VERB', 'طالبان_NOUN', 'ب_ADP', 'فوز_NOUN', 'ه_PRON', 'ب_ADP', 'أفغانستان_NOUN', 'و_CCONJ', 'يعتبر_VERB', 'مندوب_NOUN', 'ل_ADP', 'ملالي_NOUN', 'إيران_NOUN', '-_PUNCT', 'الصورة_NOUN', 'من_ADP', 'إجتماع_NOUN', 'الأرهابيين_NOUN', 'وفد_NOUN', 'من_ADP', 'طالبان_NOUN', 'مع_ADP', 'هنية_X', 'ليلة_NOUN', 'الأمس_NOUN', 'تم_VERB', 'في_ADP', 'كشك_NOUN', 'قطر_NOUN', '""_PUNCT', 'ممول_X', 'الا_PART', '._PUNCT', 'ر_X', '._PUNCT', 'هاب_X', '""_PUNCT', '#حفظ_X', '_الله_مصر_X']","['موسى_B-PER', 'أبو_I-PER', 'مرزوق_I-PER', 'الحمساوى_E-PER', 'يهنئ_O', 'طالبان_S-LOC', 'بفوزه_O', 'بأفغانستان_S-LOC', 'ويعتبر_O', 'مندوب_O', 'لملالي_O', 'إيران_S-LOC', '-_O', 'الصورة_O', 'من_O', 'إجتماع_O', 'الأرهابيين_S-PER', 'وفد_O', 'من_O', 'طالبان_O', 'مع_O', 'هنية_O', 'ليلة_O', 'الأمس_O', 'تم_O', 'في_O', 'كشك_O', 'قطر_S-LOC', '""_O', 'ممول_O', 'الا_O', '._O', 'ر_O', '._O', 'هاب_S-ORG', '""_O', '#حفظ_O', '_الله_مصر_O']",politics
"مزيداً من الأنحدار نحو مستنقع التطبيع القذر..حسين الجسمي يشارك في تلحين اغنية إسرائيلية تبدأ برساله شكر للأمارات من الرئيس الأسرائيلي في تل ابيب على أنقاض قرانا الفلسطينية التي مسحت عن وجه الارض...خسئتم انتم عار علينا.. والعروبة والدين بريئةٌ من امثالكم 
#التطبيع_خيانة_عظمى ",AuFIN_002,1311033577543479297,"['مزيداً_NOUN', 'من_ADP', 'الأنحدار_NOUN', 'نحو_ADP', 'مستنقع_NOUN', 'التطبيع_NOUN', 'القذر_ADJ', '._PUNCT', '._PUNCT', 'حسين_X', 'الجسمي_X', 'يشارك_VERB', 'في_ADP', 'تلحين_NOUN', 'اغنية_NOUN', 'إسرائيلية_ADJ', 'تبدأ_VERB', 'ب_ADP', 'رسال_NOUN', 'ه_PRON', 'شكر_NOUN', 'ل_ADP', 'الأمارات_NOUN', 'من_ADP', 'الرئيس_NOUN', 'الأسرائيلي_ADJ', 'في_ADP', 'تل_X', 'ابيب_X', 'على_ADP', 'أنقاض_NOUN', 'قرانا_X', 'الفلسطينية_ADJ', 'التي_DET', 'مسحت_VERB', 'عن_ADP', 'وجه_NOUN', 'الارض_NOUN', '._PUNCT', '._PUNCT', '._PUNCT', 'خسئة_NOUN', 'م_DET', 'انتم_PRON', 'عار_ADJ', 'علي_ADP', 'نا_PRON', '._PUNCT', '._PUNCT', 'و_CCONJ', 'العروبة_NOUN', 'و_CCONJ', 'الدين_NOUN', 'بريئة_ADJ', 'ٌ_PUNCT', 'من_ADP', 'إمثال_NOUN', 'كم_PRON', '<UNK>_PUNCT', 'التطبيع_NOUN', '_خيانة_NOUN', '_عظمى_X']","['مزيداً_O', 'من_O', 'الأنحدار_O', 'نحو_O', 'مستنقع_O', 'التطبيع_O', 'القذر_O', '._O', '._O', 'حسين_B-PER', 'الجسمي_E-PER', 'يشارك_O', 'في_O', 'تلحين_O', 'اغنية_O', 'إسرائيلية_S-ORG', 'تبدأ_O', 'برساله_O', 'شكر_O', 'للأمارات_O', 'من_O', 'الرئيس_O', 'الأسرائيلي_O', 'في_O', 'تل_B-LOC', 'ابيب_E-LOC', 'على_O', 'أنقاض_O', 'قرانا_O', 'الفلسطينية_O', 'التي_O', 'مسحت_O', 'عن_O', 'وجه_O', 'الارض_O', '._O', '._O', '._O', 'خسئتم_O', 'انتم_O', 'عار_O', 'علينا_O', '._O', '._O', 'والعروبة_O', 'والدين_O', 'بريئة_O', 'ٌ_O', 'من_O', 'امثالكم_O', '#التطبيع_O', '_خيانة_O', '_عظمى_O']",politics
"بتوجيهات من هيثم بن طارق آل سعيد سلطان عمان استدعت سلطنة عمان  سفيرها في الدوحة، اليوم  ودعت قطر إلى الكف عن نشاطاتها المزعزعة للاستقرار والأمن.
وتأتي الخطوة تعكس التضامن مع المملكة العربية السعودية التي قطعت العلاقات من قطر منتصف عام 2017 ، إضافة إلى الإمارات ",AuFIN_003,1225883281700290560,"['ب_ADP', 'توجيهات_NOUN', 'من_ADP', 'هيثم_X', 'بن_PROPN', 'طارق_X', 'آل_X', 'سعيد_X', 'سلطان_X', 'عمان_NOUN', 'استدعت_VERB', 'سلطنة_NOUN', 'عمان_NOUN', 'سفير_NOUN', 'ها_PRON', 'في_ADP', 'الدوحة_NOUN', '،_PUNCT', 'اليوم_NOUN', 'ودعت_VERB', 'قطر_NOUN', 'إلى_ADP', 'الكف_NOUN', 'عن_ADP', 'نشاطات_NOUN', 'ها_PRON', 'المزعزعة_ADJ', 'ل_ADP', 'الاستقرار_NOUN', 'و_CCONJ', 'الأمن_NOUN', '._PUNCT', 'و_CCONJ', 'تأتي_VERB', 'الخطوة_NOUN', 'تعكس_VERB', 'التضامن_NOUN', 'مع_ADP', 'المملكة_NOUN', 'العربية_ADJ', 'السعودية_ADJ', 'التي_DET', 'قطعت_VERB', 'العلاقات_NOUN', 'من_ADP', 'قطر_NOUN', 'منتصف_NOUN', 'عام_NOUN', '2017_NUM', '،_PUNCT', 'إضافة_NOUN', 'إلى_ADP', 'الإمارات_NOUN']","['بتوجيهات_O', 'من_O', 'هيثم_B-PER', 'بن_I-PER', 'طارق_I-PER', 'آل_I-PER', 'سعيد_E-PER', 'سلطان_O', 'عمان_S-LOC', 'استدعت_O', 'سلطنة_O', 'عمان_S-LOC', 'سفيرها_O', 'في_O', 'الدوحة_S-LOC', '،_O', 'اليوم_O', 'ودعت_O', 'قطر_O', 'إلى_O', 'الكف_O', 'عن_O', 'نشاطاتها_O', 'المزعزعة_O', 'للاستقرار_O', 'والأمن_O', '._O', 'وتأتي_O', 'الخطوة_O', 'تعكس_O', 'التضامن_O', 'مع_O', 'المملكة_B-LOC', 'العربية_I-LOC', 'السعودية_E-LOC', 'التي_O', 'قطعت_O', 'العلاقات_O', 'من_O', 'قطر_S-LOC', 'منتصف_O', 'عام_O', '2017_O', '،_O', 'إضافة_O', 'إلى_O', 'الإمارات_S-LOC']",politics
".
.

متظاهرون أتراك يهاجمون البنك الكويتي التركي في إسطنبول .. بعد انهيار الليرة التركية ..

.
كما وصلني .. ",AuFIN_004,1317056521612763142,"['._PUNCT', '._PUNCT', 'متظاهرون_NOUN', 'أتراك_ADJ', 'يهاجمون_VERB', 'البنك_NOUN', 'الكويتي_ADJ', 'التركي_ADJ', 'في_ADP', 'إسطنبول_X', '._PUNCT', '._PUNCT', 'بعد_ADP', 'انهيار_NOUN', 'الليرة_NOUN', 'التركية_ADJ', '._PUNCT', '._PUNCT', '._PUNCT', 'كما_CCONJ', 'و_CCONJ', 'صلني_VERB', '._PUNCT', '._PUNCT']","['._O', '._O', 'متظاهرون_O', 'أتراك_S-PER', 'يهاجمون_O', 'البنك_B-ORG', 'الكويتي_I-ORG', 'التركي_E-ORG', 'في_O', 'إسطنبول_S-LOC', '._O', '._O', 'بعد_O', 'انهيار_O', 'الليرة_O', 'التركية_O', '._O', '._O', '._O', 'كما_O', 'وصلني_O', '._O', '._O']",politics
"وين ولد الملحه 
عــــــــاجل
رئيس اركان الجيش الكويتي الفريق الركن محمد خالد الخضر! في حال لم ينسحب العراق عن بناء الميناء الجديد لن تكون هناك محافظة اسمها البصرة ساجتاحها بسواعد رجال الكويت ليكون درس للذين شككو في قدراتنا العسكرية العراق اصغر من ان تصد هجماتنا ونحن الان ",AuFIN_005,1176264390238040064,"['و_CCONJ', 'ين_VERB', 'ولد_NOUN', 'الملحه_X', 'عــــــــاجل_ADJ', 'رئيس_NOUN', 'اركان_NOUN', 'الجيش_NOUN', 'الكويتي_ADJ', 'الفريق_NOUN', 'الركن_NOUN', 'محمد_X', 'خالد_X', 'الخضر_X', '!_PUNCT', 'في_ADP', 'حال_NOUN', 'لم_PART', 'ينسحب_VERB', 'العراق_NOUN', 'عن_ADP', 'بناء_NOUN', 'الميناء_NOUN', 'الجديد_ADJ', 'لن_PART', 'تكون_VERB', 'هناك_ADV', 'محافظة_NOUN', 'اسم_NOUN', 'ها_PRON', 'البصرة_NOUN', 'س_AUX', 'اجتاح_VERB', 'ها_PRON', 'ب_ADP', 'سواعد_NOUN', 'رجال_NOUN', 'الكويت_NOUN', 'ل_CCONJ', 'يكون_VERB', 'درس_NOUN', 'ل_ADP', 'الذين_DET', 'شككو_VERB', 'في_ADP', 'قدرات_NOUN', 'نا_PRON', 'العسكرية_ADJ', 'العراق_NOUN', 'اصغر_ADJ', 'من_ADP', 'ان_SCONJ', 'تصد_VERB', 'هجمات_NOUN', 'نا_PRON', 'و_CCONJ', 'نحن_PRON', 'الان_NOUN']","['وين_O', 'ولد_O', 'الملحه_O', 'عــــــــاجل_O', 'رئيس_O', 'اركان_O', 'الجيش_B-ORG', 'الكويتي_E-ORG', 'الفريق_O', 'الركن_O', 'محمد_B-PER', 'خالد_I-PER', 'الخضر_E-PER', '!_O', 'في_O', 'حال_O', 'لم_O', 'ينسحب_O', 'العراق_S-LOC', 'عن_O', 'بناء_O', 'الميناء_O', 'الجديد_O', 'لن_O', 'تكون_O', 'هناك_O', 'محافظة_O', 'اسمها_O', 'البصرة_S-LOC', 'ساجتاحها_O', 'بسواعد_O', 'رجال_O', 'الكويت_S-LOC', 'ليكون_O', 'درس_O', 'للذين_O', 'شككو_O', 'في_O', 'قدراتنا_O', 'العسكرية_O', 'العراق_S-LOC', 'اصغر_O', 'من_O', 'ان_O', 'تصد_O', 'هجماتنا_O', 'ونحن_O', 'الان_O']",politics
"#قيس_سعيد 
""من الآن فصاعداً، إذا تدخل رجال الدين في السياسة فإني سأملاء السجون بهم""
يحيا البطن الذي حمل بك يا رجل في زمن انبطاح الرجال..",AuFIN_006,1420483339266318339,"['<UNK>_PUNCT', 'قيس_X', '_سعيد_X', '""_PUNCT', 'من_ADP', 'الآن_NOUN', 'فصاعداً_ADJ', '،_PUNCT', 'إذا_CCONJ', 'تدخل_VERB', 'رجال_NOUN', 'الدين_NOUN', 'في_ADP', 'السياسة_NOUN', 'ف_CCONJ', 'إني_PRON', 'س_AUX', 'أملاء_VERB', 'السجون_NOUN', 'ب_ADP', 'هم_PRON', '""_PUNCT', 'يحيا_VERB', 'البطن_NOUN', 'الذي_DET', 'حمل_VERB', 'ب_ADP', 'ك_PRON', 'يا_PART', 'رجل_NOUN', 'في_ADP', 'زمن_NOUN', 'انبطاح_X', 'الرجال_NOUN', '._PUNCT', '._PUNCT']","['#قيس_O', '_سعيد_O', '""_O', 'من_O', 'الآن_O', 'فصاعداً_O', '،_O', 'إذا_O', 'تدخل_O', 'رجال_O', 'الدين_O', 'في_O', 'السياسة_O', 'فإني_O', 'سأملاء_O', 'السجون_O', 'بهم_O', '""_O', 'يحيا_O', 'البطن_O', 'الذي_O', 'حمل_O', 'بك_O', 'يا_O', 'رجل_O', 'في_O', 'زمن_O', 'انبطاح_O', 'الرجال_O', '._O', '._O']",politics
#قطر تُعلن تسجيل أول إصابة بـ فايروس #كورونا المستجد ,AuFIN_007,1229853077357899776,"['#قطر_X', 'تُعلن_VERB', 'تسجيل_NOUN', 'أول_ADJ', 'إصابة_NOUN', 'بـ_ADP', 'فايروس_X', '#كورونا_X', 'المستجد_ADJ']","['#قطر_O', 'تُعلن_O', 'تسجيل_O', 'أول_O', 'إصابة_O', 'بـ_O', 'فايروس_B-MISC', '#كورونا_E-MISC', 'المستجد_O']",politics
شاهد.. كيف #احتفل_القطريون في شوارع الدوحة بعد موافقة المملكة على فتح الحدود البرية والجوية مع بلادهم  @marsdnews24,AuFIN_008,1346250971169611783,"['شاهد_NOUN', '._PUNCT', '._PUNCT', 'كيف_DET', '<UNK>_PUNCT', 'احتفل_VERB', '_القطريون_ADJ', 'في_ADP', 'شوارع_NOUN', 'الدوحة_NOUN', 'بعد_ADP', 'موافقة_NOUN', 'المملكة_NOUN', 'على_ADP', 'فتح_NOUN', 'الحدود_NOUN', 'البرية_ADJ', 'و_CCONJ', 'الجوية_ADJ', 'مع_ADP', 'بلاد_NOUN', 'هم_PRON', '@marsdne_X', 'ws_PUNCT', '24_NUM']","['شاهد_O', '._O', '._O', 'كيف_O', '#احتفل_O', '_القطريون_S-PER', 'في_O', 'شوارع_B-LOC', 'الدوحة_E-LOC', 'بعد_O', 'موافقة_O', 'المملكة_O', 'على_O', 'فتح_O', 'الحدود_O', 'البرية_O', 'والجوية_O', 'مع_O', 'بلادهم_O', '@marsdne_O', 'ws_O', '24_O']",politics
"أردوغان : مشاكلي مع السيسي كانت بسبب سوء الفهم و*أسعى* لإصلاحه..
قناة الجزيرة ",AuFIN_009,1370704766397976576,"['أردوغان_X', ':_PUNCT', 'مشاكلي_X', 'مع_ADP', 'السيسي_NOUN', 'كانت_VERB', 'ب_ADP', 'سبب_NOUN', 'سوء_NOUN', 'الفهم_NOUN', 'و_CCONJ', '*_PUNCT', 'أسعى_VERB', '*_PUNCT', 'ل_ADP', 'إصلاح_NOUN', 'ه_PRON', '._PUNCT', '._PUNCT', 'قناة_NOUN', 'الجزيرة_NOUN']","['أردوغان_S-PER', ':_O', 'مشاكلي_O', 'مع_O', 'السيسي_S-PER', 'كانت_O', 'بسبب_O', 'سوء_O', 'الفهم_O', 'و_O', '*_O', 'أسعى_O', '*_O', 'لإصلاحه_O', '._O', '._O', 'قناة_O', 'الجزيرة_O']",politics
"مش ده برضو الملياردير نجيب ساويرس اللي معاه ربع فلوس مصر وعايش في خيرها ولا أنا مش شايف كويس 
 متصور مع آبي أحمد رئيس الوزراء الأثيوبي اللي بيموت إكلينيكيا حاليا واللي مغتصب حقنا من مياه النيل 
طيب أيه اللي موديه هناك ",AuFIN_010,1463555041432940550,"['مش_X', 'ده_X', 'برضو_ADJ', 'الملياردير_NOUN', 'نجيب_X', 'ساويرس_X', 'اللي_X', 'معاه_ADJ', 'ربع_NOUN', 'فلوس_NOUN', 'مصر_NOUN', 'و_CCONJ', 'عايش_ADJ', 'في_ADP', 'خير_ADJ', 'ها_PRON', 'و_CCONJ', 'لا_PART', 'أنا_PRON', 'مش_INTJ', 'شايف_X', 'كويس_X', 'متصور_ADJ', 'مع_ADP', 'آبي_X', 'أحمد_X', 'رئيس_NOUN', 'الوزراء_NOUN', 'الأثيوبي_ADJ', 'اللي_X', 'بيموت_X', 'إكلينيكيا_X', 'حاليا_ADJ', 'و_CCONJ', 'اللي_ADJ', 'مغتصب_X', 'حقنا_X', 'من_ADP', 'مياه_NOUN', 'النيل_NOUN', 'طيب_ADJ', 'أي_NOUN', 'ه_PRON', 'اللي_X', 'موديه_X', 'هناك_ADV']","['مش_O', 'ده_O', 'برضو_O', 'الملياردير_O', 'نجيب_B-PER', 'ساويرس_E-PER', 'اللي_O', 'معاه_O', 'ربع_O', 'فلوس_O', 'مصر_S-LOC', 'وعايش_O', 'في_O', 'خيرها_O', 'ولا_O', 'أنا_O', 'مش_O', 'شايف_O', 'كويس_O', 'متصور_O', 'مع_O', 'آبي_B-PER', 'أحمد_E-PER', 'رئيس_O', 'الوزراء_O', 'الأثيوبي_O', 'اللي_O', 'بيموت_O', 'إكلينيكيا_S-ORG', 'حاليا_O', 'واللي_O', 'مغتصب_O', 'حقنا_O', 'من_O', 'مياه_O', 'النيل_S-LOC', 'طيب_O', 'أيه_O', 'اللي_O', 'موديه_O', 'هناك_O']",politics
